Company;Info - Ticker;Info - Country;Div. Payout - Current;FCF margin - Current;Revenue g. - Growth 5y;Info - Industry;Profit marg - Current;Market Cap - Current USD;Debt-Equity - Current;P/E - Current;FS & G & Div. - Point;Earnings - Stable 5y;Dividend - Stable 5y;Dividend - Current;Earnings/share - Current;Magic - Rank;MA - MA 200d;MA - MA 50d;Price / MA - MA 200d;RSI - RSI(14);Performance - Perform. 1m;Performance - Perform. 6m;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;FCF growth - Growth 5y;Earnings g. - Growth 5y;Fair value
Oil-Dri Corp of America;ODC;USA;21%;10,6%;9,4%;Chemicals;11,1%;940,0;0,4;17,3;19;5;5;0,82;3,91;1987;58,97;63,36;14,6%;65,4;-2,1%;11,6%;45,0%;67,57;USD;USD;3,91;14,3%;34,3%;37,2%;106,57
Olvi;OLVAS;Finland;44%;4,0%;9,9%;Brewers;9,6%;762,5;0,6;10,8;17;5;5;1,35;3,09;664;31,83;33,87;5,1%;45,6;-1,3%;12,2%;-0,9%;33,45;EUR;EUR;3,09;15,7%;-5,7%;9,6%;53,38
OMV Petrom SA;XNE;Germany;76%;1,8%;12,5%;Oil & Gas -Exploration;10,3%;13714,7;0,5;3,4;19;5;5;0,04;0,06;1087;0,18;0,20;10,6%;49,0;0,0%;11,1%;54,2%;0,20;EUR;RON;0,06;14,3%;-11,8%;22,6%;0,65
Orell Fussli AG;OFH;Germany;45%;8,2%;4,0%;Business Support & Services;7,2%;329,4;0,4;14,6;13;5;4;4,40;9,79;398;123,65;141,48;23,7%;60,4;7,7%;24,4%;;153,00;EUR;CHF;9,79;16,6%;32,7%;8,2%;190,19
Orient Overseas Ltd;ORI1;Germany;48%;17,2%;5,9%;Marine & Sea;24,7%;10939,7;0,4;4,4;22;5;5;1,95;4,08;182;14,62;15,29;3,0%;41,1;-7,9%;10,0%;7,6%;15,06;EUR;USD;4,08;88,0%;6,9%;23,2%;52,27
Orion B;ORNBV;Finland;51%;11,5%;11,9%;Pharmaceuticals;26,5%;11131,2;0,6;20,2;18;5;5;1,80;3,55;1640;66,30;69,58;8,1%;63,6;6,2%;9,3%;28,5%;71,70;EUR;EUR;3,55;31,0%;-3,3%;17,9%;62,23
Orkla;ORK;Norway;88%;17,4%;8,7%;Food Processing;9,7%;12287,6;0,7;18,0;20;5;5;6,00;6,83;4402;111,54;121,18;10,0%;58,8;-5,7%;16,9%;6,4%;122,70;NOK;NOK;6,83;8,6%;27,8%;9,4%;119,43
Otsuka Holdings Co Ltd;OS1;Germany;17%;14,5%;11,0%;Pharmaceuticals;17,0%;36265,9;0,4;13,7;22;5;5;130,00;761,27;1984;48,12;55,41;27,8%;69,5;11,8%;32,0%;27,1%;61,50;EUR;JPY;761,27;9,4%;22,4%;22,8%;71,75
Paramount Resources Ltd;POU;Canada;175%;-48,9%;10,2%;Oil & Gas -Exploration;126,8%;3008,3;0,3;3,2;15;4;4;15,70;8,96;6689;23,66;27,39;19,5%;48,3;3,3%;25,3%;51,9%;28,27;CAD;CAD;8,96;18,4%;-212,2%;122,6%;176,14
Pason Systems Inc;PSI;Canada;76%;3,5%;21,8%;Oil & Gas - Services;12,7%;762,3;0,3;19,3;17;5;5;0,52;0,68;1479;12,18;12,73;7,7%;54,6;1,3%;9,7%;-1,5%;13,12;CAD;CAD;0,68;28,6%;-11,0%;53,4%;21,43
